GLW,CORNING INC ,Technology
UNVR,UNIVAR INC.,Basic Materials
MOS,MOSAIC CO,Basic Materials
CORE,CORE-MARK HOLDING COMPANY INC.,Industrials
HDS,HD SUPPLY HOLDINGS INC.,Industrials
CCK,CROWN HOLDINGS INC,Basic Materials
EOG,EOG RESOURCES INC,Energy
VRTV,VERITIV CORP,Basic Materials
APC,ANADARKO PETROLEUM CORP,Energy
LH,LABORATORY CORP OF AMERICA HOLDINGS,Healthcare
STI,SUNTRUST BANKS INC,Financials
CAR,AVIS BUDGET GROUP INC.,Industrials
LVLT,LEVEL 3 COMMUNICATIONS INC,Telecommunication Services
TEN,TENNECO INC,Consumer Cyclicals
UNFI,UNITED NATURAL FOODS INC,Consumer Non-Cyclicals
DF,DEAN FOODS CO,Consumer Non-Cyclicals
CPB,CAMPBELL SOUP CO,Consumer Non-Cyclicals
MHK,MOHAWK INDUSTRIES INC,Consumer Cyclicals
BWA,BORGWARNER INC,Consumer Cyclicals
PVH,PVH CORP. ,Consumer Cyclicals
BLL,BALL CORP,Basic Materials
ORLY,O REILLY AUTOMOTIVE INC,Consumer Cyclicals
ES,EVERSOURCE ENERGY,Utilities
BEN,FRANKLIN RESOURCES INC,Financials
MAS,MASCO CORP ,Consumer Cyclicals
LAD,LITHIA MOTORS INC,Consumer Cyclicals
KKR,KKR & CO. L.P.,Financials
OKE,ONEOK INC ,Energy
NEM,NEWMONT MINING CORP ,Basic Materials
PPL,PPL CORP,Utilities
SPTN,SPARTANNASH CO,Consumer Non-Cyclicals
PWR,QUANTA SERVICES INC,Industrials
XPO,XPO LOGISTICS INC.,Industrials
RL,RALPH LAUREN CORP,Consumer Cyclicals
IPG,INTERPUBLIC GROUP OF COMPANIES INC.,Consumer Cyclicals
STLD,STEEL DYNAMICS INC,Basic Materials
WCC,WESCO INTERNATIONAL INC,Industrials
DGX,QUEST DIAGNOSTICS INC,Healthcare
BSX,BOSTON SCIENTIFIC CORP,Healthcare
AGCO,AGCO CORP ,Industrials
FL,FOOT LOCKER INC.,Consumer Cyclicals
HSY,HERSHEY CO,Consumer Non-Cyclicals
CNP,CENTERPOINT ENERGY INC,Utilities
WMB,WILLIAMS COMPANIES INC,Energy
DKS,DICKS SPORTING GOODS INC,Consumer Cyclicals
LYV,LIVE NATION ENTERTAINMENT INC.,Consumer Cyclicals
WRB,BERKLEY W R CORP,Financials
LKQ,LKQ CORP,Consumer Cyclicals
AVP,AVON PRODUCTS INC,Consumer Non-Cyclicals
DRI,DARDEN RESTAURANTS INC,Consumer Cyclicals
KND,KINDRED HEALTHCARE INC,Healthcare
WY,WEYERHAEUSER CO,Financials
CASY,CASEYS GENERAL STORES INC,Consumer Non-Cyclicals
SEE,SEALED AIR CORP,Basic Materials
FITB,FIFTH THIRD BANCORP,Financials
DOV,DOVER CORP,Industrials
HII,HUNTINGTON INGALLS INDUSTRIES INC.,Industrials
NFLX,NETFLIX INC,Technology
DDS,DILLARD'S INC.,Consumer Cyclicals
EME,EMCOR GROUP INC,Industrials
JONE,JONES ENERGY INC.,Energy
AKS,AK STEEL HOLDING CORP,Basic Materials
UGI,UGI CORP ,Utilities
EXPE,EXPEDIA INC.,Consumer Cyclicals
CRM,SALESFORCE COM INC,Technology
TRGP,TARGA RESOURCES CORP.,Energy
APA,APACHE CORP,Energy
SPR,SPIRIT AEROSYSTEMS HOLDINGS INC.,Industrials
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,Industrials
AXE,ANIXTER INTERNATIONAL INC,Industrials
FIS,FIDELITY NATIONAL INFORMATION SERVICES INC.,Financials
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Cyclicals
HES,HESS CORP,Energy
R,RYDER SYSTEM INC,Industrials
TEX,TEREX CORP,Industrials
SYMC,SYMANTEC CORP,Technology
SCHW,SCHWAB CHARLES CORP,Financials
CPN,CALPINE CORP,Utilities
CMS,CMS ENERGY CORP,Utilities
ADS,ALLIANCE DATA SYSTEMS CORP,Industrials
JBLU,JETBLUE AIRWAYS CORP,Industrials
DISCA,DISCOVERY COMMUNICATIONS INC.,Consumer Cyclicals
TRN,TRINITY INDUSTRIES INC,Industrials
SANM,SANMINA CORP,Technology
NCR,NCR CORP,Technology
FTI,TECHNIPFMC PLC,Energy
ERIE,ERIE INDEMNITY CO,Financials
ROK,ROCKWELL AUTOMATION INC,Industrials
DPS,DR PEPPER SNAPPLE GROUP INC.,Consumer Non-Cyclicals
IHRT,IHEARTMEDIA INC.,Consumer Cyclicals
TSCO,TRACTOR SUPPLY CO ,Consumer Cyclicals
JBHT,HUNT J B TRANSPORT SERVICES INC,Industrials
CMC,COMMERCIAL METALS CO,Basic Materials
OI,OWENS ILLINOIS INC ,Basic Materials
AFG,AMERICAN FINANCIAL GROUP INC,Financials
NTAP,NETAPP INC.,Technology
OSK,OSHKOSH CORP,Industrials
AEE,AMEREN CORP,Utilities
AMRK,A-MARK PRECIOUS METALS INC.,Basic Materials
BKS,BARNES & NOBLE INC,Consumer Cyclicals
DAN,DANA INC,Consumer Cyclicals
STZ,CONSTELLATION BRANDS INC.,Consumer Non-Cyclicals
LPNT,LIFEPOINT HEALTH INC.,Healthcare
ZBH,ZIMMER BIOMET HOLDINGS INC.,Healthcare
HOG,HARLEY DAVIDSON INC,Consumer Cyclicals
PHM,PULTEGROUP INC,Consumer Cyclicals
NWL,NEWELL BRANDS INC,Consumer Cyclicals
AVY,AVERY DENNISON CORP,Basic Materials
JLL,JONES LANG LASALLE INC,Financials
WEC,WEC ENERGY GROUP INC.,Utilities
MRO,MARATHON OIL CORP,Energy
TA,TRAVELCENTERS OF AMERICA LLC,Energy
URI,UNITED RENTALS INC ,Industrials
HRG,HRG GROUP INC.,Consumer Cyclicals
ORI,OLD REPUBLIC INTERNATIONAL CORP,Financials
WIN,WINDSTREAM HOLDINGS INC.,Telecommunication Services
DK,DELEK US HOLDINGS INC.,Energy
PKG,PACKAGING CORP OF AMERICA,Basic Materials
Q,QUINTILES IMS HOLDINGS INC.,Healthcare
HBI,HANESBRANDS INC.,Consumer Cyclicals
RLGY,REALOGY HOLDINGS CORP.,Financials
MAT,MATTEL INC ,Consumer Cyclicals
MSI,MOTOROLA SOLUTIONS INC.,Technology
SJM,J M SMUCKER CO,Consumer Non-Cyclicals
RF,REGIONS FINANCIAL CORP,Financials
CE,CELANESE CORP,Basic Materials
CLX,CLOROX CO ,Consumer Non-Cyclicals
INGR,INGREDION INC,Consumer Non-Cyclicals
GEN,GENESIS HEALTHCARE INC.,Healthcare
BTU,PEABODY ENERGY CORP,Energy
ALK,ALASKA AIR GROUP INC.,Industrials
SEB,SEABOARD CORP ,Consumer Non-Cyclicals
FTR,FRONTIER COMMUNICATIONS CORP,Telecommunication Services
APH,AMPHENOL CORP ,Technology
WYN,WYNDHAM WORLDWIDE CORP,Consumer Cyclicals
KELYA,KELLY SERVICES INC,Industrials
WU,WESTERN UNION CO,Industrials
VC,VISTEON CORP,Consumer Cyclicals
AJG,GALLAGHER ARTHUR J & CO,Financials
HST,HOST HOTELS & RESORTS INC.,Financials
ASH,ASHLAND GLOBAL HOLDINGS INC,Basic Materials
NSIT,INSIGHT ENTERPRISES INC,Technology
MKL,MARKEL CORP,Financials
ESND,ESSENDANT INC,Industrials
OC,OWENS CORNING,Consumer Cyclicals
SPGI,S&P GLOBAL INC.,Industrials
RJF,RAYMOND JAMES FINANCIAL INC,Financials
NI,NISOURCE INC,Utilities
ABM,ABM INDUSTRIES INC ,Industrials
CFG,CITIZENS FINANCIAL GROUP INC,Financials
BAH,BOOZ ALLEN HAMILTON HOLDING CORP,Technology
UFS,DOMTAR CORP,Basic Materials
COL,ROCKWELL COLLINS INC,Industrials
LRCX,LAM RESEARCH CORP,Technology
FISV,FISERV INC,Industrials
SE,SPECTRA ENERGY CORP.,Energy
NAVI,NAVIENT CORP,Financials
BIG,BIG LOTS INC,Consumer Cyclicals
TDS,TELEPHONE & DATA SYSTEMS INC ,Telecommunication Services
FAF,FIRST AMERICAN FINANCIAL CORP,Financials
NVR,NVR INC,Consumer Cyclicals
CINF,CINCINNATI FINANCIAL CORP,Financials
BURL,BURLINGTON STORES INC.,Consumer Cyclicals
